group,text,label
vignette:56,eye is red and painful with blurred vision. please advise,TRIAGE_SYMPTOMS
vignette:56,"hi, eye is red and painful with blurred vision and i am worried",TRIAGE_SYMPTOMS
vignette:56,hello doctor eye is red and painful with blurred vision,TRIAGE_SYMPTOMS
vignette:56,i am experiencing eye is red and painful with blurred vision,TRIAGE_SYMPTOMS
vignette:41,"shortness of breath when i walk up stairs, started this week",TRIAGE_SYMPTOMS
vignette:41,"i have shortness of breath when i walk up stairs, started this week",TRIAGE_SYMPTOMS
vignette:41,"doctor, shortness of breath when i walk up stairs, started this week",TRIAGE_SYMPTOMS
vignette:41,"shortness of breath when i walk up stairs, started this week. what should i do",TRIAGE_SYMPTOMS
vignette:41,"shortness of breath when i walk up stairs, started this week. please advise",TRIAGE_SYMPTOMS
vignette:41,"hi, shortness of breath when i walk up stairs, started this week and i am worried",TRIAGE_SYMPTOMS
vignette:41,"hello doctor shortness of breath when i walk up stairs, started this week",TRIAGE_SYMPTOMS
vignette:41,"i am experiencing shortness of breath when i walk up stairs, started this week",TRIAGE_SYMPTOMS
vignette:121,runny nose and sneezing since last night,TRIAGE_SYMPTOMS
vignette:121,i have runny nose and sneezing since last night,TRIAGE_SYMPTOMS
vignette:121,"doctor, runny nose and sneezing since last night",TRIAGE_SYMPTOMS
vignette:121,runny nose and sneezing since last night. what should i do,TRIAGE_SYMPTOMS
vignette:121,runny nose and sneezing since last night. please advise,TRIAGE_SYMPTOMS
vignette:121,"hi, runny nose and sneezing since last night and i am worried",TRIAGE_SYMPTOMS
vignette:121,hello doctor runny nose and sneezing since last night,TRIAGE_SYMPTOMS
vignette:121,i am experiencing runny nose and sneezing since last night,TRIAGE_SYMPTOMS
vignette:65,i am 80 and became more confused than usual today,TRIAGE_SYMPTOMS
vignette:65,i have i am 80 and became more confused than usual today,TRIAGE_SYMPTOMS
vignette:65,"doctor, i am 80 and became more confused than usual today",TRIAGE_SYMPTOMS
vignette:65,i am 80 and became more confused than usual today. what should i do,TRIAGE_SYMPTOMS
vignette:65,i am 80 and became more confused than usual today. please advise,TRIAGE_SYMPTOMS
vignette:65,"hi, i am 80 and became more confused than usual today and i am worried",TRIAGE_SYMPTOMS
vignette:65,hello doctor i am 80 and became more confused than usual today,TRIAGE_SYMPTOMS
vignette:65,i am experiencing i am 80 and became more confused than usual today,TRIAGE_SYMPTOMS
vignette:72,jaundice with yellow eyes and dark urine since two days,TRIAGE_SYMPTOMS
vignette:72,i have jaundice with yellow eyes and dark urine since two days,TRIAGE_SYMPTOMS
vignette:72,"doctor, jaundice with yellow eyes and dark urine since two days",TRIAGE_SYMPTOMS
vignette:72,jaundice with yellow eyes and dark urine since two days. what should i do,TRIAGE_SYMPTOMS
vignette:72,jaundice with yellow eyes and dark urine since two days. please advise,TRIAGE_SYMPTOMS
vignette:72,"hi, jaundice with yellow eyes and dark urine since two days and i am worried",TRIAGE_SYMPTOMS
vignette:72,hello doctor jaundice with yellow eyes and dark urine since two days,TRIAGE_SYMPTOMS
vignette:72,i am experiencing jaundice with yellow eyes and dark urine since two days,TRIAGE_SYMPTOMS
vignette:128,dry lips and mild throat irritation today,TRIAGE_SYMPTOMS
vignette:128,i have dry lips and mild throat irritation today,TRIAGE_SYMPTOMS
vignette:128,"doctor, dry lips and mild throat irritation today",TRIAGE_SYMPTOMS
vignette:128,dry lips and mild throat irritation today. what should i do,TRIAGE_SYMPTOMS
vignette:128,dry lips and mild throat irritation today. please advise,TRIAGE_SYMPTOMS
vignette:128,"hi, dry lips and mild throat irritation today and i am worried",TRIAGE_SYMPTOMS
vignette:128,hello doctor dry lips and mild throat irritation today,TRIAGE_SYMPTOMS
vignette:128,i am experiencing dry lips and mild throat irritation today,TRIAGE_SYMPTOMS
vignette:80,dry cough that has lasted six days and is not improving,TRIAGE_SYMPTOMS
vignette:80,i have dry cough that has lasted six days and is not improving,TRIAGE_SYMPTOMS
vignette:80,"doctor, dry cough that has lasted six days and is not improving",TRIAGE_SYMPTOMS
vignette:80,dry cough that has lasted six days and is not improving. what should i do,TRIAGE_SYMPTOMS
vignette:80,dry cough that has lasted six days and is not improving. please advise,TRIAGE_SYMPTOMS
vignette:80,"hi, dry cough that has lasted six days and is not improving and i am worried",TRIAGE_SYMPTOMS
vignette:80,hello doctor dry cough that has lasted six days and is not improving,TRIAGE_SYMPTOMS
vignette:80,i am experiencing dry cough that has lasted six days and is not improving,TRIAGE_SYMPTOMS
vignette:76,i have kidney disease and my legs have swollen suddenly,TRIAGE_SYMPTOMS
vignette:76,i have i have kidney disease and my legs have swollen suddenly,TRIAGE_SYMPTOMS
vignette:76,"doctor, i have kidney disease and my legs have swollen suddenly",TRIAGE_SYMPTOMS
vignette:76,i have kidney disease and my legs have swollen suddenly. what should i do,TRIAGE_SYMPTOMS
vignette:76,i have kidney disease and my legs have swollen suddenly. please advise,TRIAGE_SYMPTOMS
vignette:76,"hi, i have kidney disease and my legs have swollen suddenly and i am worried",TRIAGE_SYMPTOMS
vignette:76,hello doctor i have kidney disease and my legs have swollen suddenly,TRIAGE_SYMPTOMS
vignette:76,i am experiencing i have kidney disease and my legs have swollen suddenly,TRIAGE_SYMPTOMS
vignette:100,persistent tiredness for a month even after resting,TRIAGE_SYMPTOMS
vignette:100,i have persistent tiredness for a month even after resting,TRIAGE_SYMPTOMS
vignette:100,"doctor, persistent tiredness for a month even after resting",TRIAGE_SYMPTOMS
vignette:100,persistent tiredness for a month even after resting. what should i do,TRIAGE_SYMPTOMS
vignette:100,persistent tiredness for a month even after resting. please advise,TRIAGE_SYMPTOMS
vignette:100,"hi, persistent tiredness for a month even after resting and i am worried",TRIAGE_SYMPTOMS
vignette:100,hello doctor persistent tiredness for a month even after resting,TRIAGE_SYMPTOMS
vignette:100,i am experiencing persistent tiredness for a month even after resting,TRIAGE_SYMPTOMS
vignette:135,mild gas and burping since lunch,TRIAGE_SYMPTOMS
vignette:135,i have mild gas and burping since lunch,TRIAGE_SYMPTOMS
vignette:135,"doctor, mild gas and burping since lunch",TRIAGE_SYMPTOMS
vignette:135,mild gas and burping since lunch. what should i do,TRIAGE_SYMPTOMS
vignette:135,mild gas and burping since lunch. please advise,TRIAGE_SYMPTOMS
vignette:135,"hi, mild gas and burping since lunch and i am worried",TRIAGE_SYMPTOMS
vignette:135,hello doctor mild gas and burping since lunch,TRIAGE_SYMPTOMS
vignette:135,i am experiencing mild gas and burping since lunch,TRIAGE_SYMPTOMS
vignette:157,one small mouth ulcer since yesterday,TRIAGE_SYMPTOMS
vignette:157,i have one small mouth ulcer since yesterday,TRIAGE_SYMPTOMS
vignette:157,"doctor, one small mouth ulcer since yesterday",TRIAGE_SYMPTOMS
vignette:157,one small mouth ulcer since yesterday. what should i do,TRIAGE_SYMPTOMS
vignette:157,one small mouth ulcer since yesterday. please advise,TRIAGE_SYMPTOMS
vignette:157,"hi, one small mouth ulcer since yesterday and i am worried",TRIAGE_SYMPTOMS
vignette:157,hello doctor one small mouth ulcer since yesterday,TRIAGE_SYMPTOMS
vignette:157,i am experiencing one small mouth ulcer since yesterday,TRIAGE_SYMPTOMS
vignette:71,severe pain and swelling in my hand after a dog bite yesterday,TRIAGE_SYMPTOMS
vignette:71,i have severe pain and swelling in my hand after a dog bite yesterday,TRIAGE_SYMPTOMS
vignette:71,"doctor, severe pain and swelling in my hand after a dog bite yesterday",TRIAGE_SYMPTOMS
vignette:71,severe pain and swelling in my hand after a dog bite yesterday. what should i do,TRIAGE_SYMPTOMS
vignette:71,severe pain and swelling in my hand after a dog bite yesterday. please advise,TRIAGE_SYMPTOMS
vignette:71,"hi, severe pain and swelling in my hand after a dog bite yesterday and i am worried",TRIAGE_SYMPTOMS
vignette:71,hello doctor severe pain and swelling in my hand after a dog bite yesterday,TRIAGE_SYMPTOMS
vignette:71,i am experiencing severe pain and swelling in my hand after a dog bite yesterday,TRIAGE_SYMPTOMS
vignette:115,low mood and loss of interest for the past month,TRIAGE_SYMPTOMS
vignette:115,i have low mood and loss of interest for the past month,TRIAGE_SYMPTOMS
vignette:115,"doctor, low mood and loss of interest for the past month",TRIAGE_SYMPTOMS
vignette:115,low mood and loss of interest for the past month. what should i do,TRIAGE_SYMPTOMS
vignette:115,low mood and loss of interest for the past month. please advise,TRIAGE_SYMPTOMS
vignette:115,"hi, low mood and loss of interest for the past month and i am worried",TRIAGE_SYMPTOMS
vignette:115,hello doctor low mood and loss of interest for the past month,TRIAGE_SYMPTOMS
vignette:115,i am experiencing low mood and loss of interest for the past month,TRIAGE_SYMPTOMS
vignette:89,knee pain and swelling for a week after a fall,TRIAGE_SYMPTOMS
vignette:89,i have knee pain and swelling for a week after a fall,TRIAGE_SYMPTOMS
vignette:89,"doctor, knee pain and swelling for a week after a fall",TRIAGE_SYMPTOMS
vignette:89,knee pain and swelling for a week after a fall. what should i do,TRIAGE_SYMPTOMS
vignette:89,knee pain and swelling for a week after a fall. please advise,TRIAGE_SYMPTOMS
vignette:89,"hi, knee pain and swelling for a week after a fall and i am worried",TRIAGE_SYMPTOMS
vignette:89,hello doctor knee pain and swelling for a week after a fall,TRIAGE_SYMPTOMS
vignette:89,i am experiencing knee pain and swelling for a week after a fall,TRIAGE_SYMPTOMS
vignette:83,sore throat with difficulty swallowing solid food for four days,TRIAGE_SYMPTOMS
vignette:83,i have sore throat with difficulty swallowing solid food for four days,TRIAGE_SYMPTOMS
vignette:83,"doctor, sore throat with difficulty swallowing solid food for four days",TRIAGE_SYMPTOMS
vignette:83,sore throat with difficulty swallowing solid food for four days. what should i do,TRIAGE_SYMPTOMS
vignette:83,sore throat with difficulty swallowing solid food for four days. please advise,TRIAGE_SYMPTOMS
vignette:83,"hi, sore throat with difficulty swallowing solid food for four days and i am worried",TRIAGE_SYMPTOMS
vignette:83,hello doctor sore throat with difficulty swallowing solid food for four days,TRIAGE_SYMPTOMS
vignette:83,i am experiencing sore throat with difficulty swallowing solid food for four days,TRIAGE_SYMPTOMS
vignette:137,"slight cough for one day, no fever",TRIAGE_SYMPTOMS
vignette:137,"i have slight cough for one day, no fever",TRIAGE_SYMPTOMS
vignette:137,"doctor, slight cough for one day, no fever",TRIAGE_SYMPTOMS
vignette:137,"slight cough for one day, no fever. what should i do",TRIAGE_SYMPTOMS
vignette:137,"slight cough for one day, no fever. please advise",TRIAGE_SYMPTOMS
vignette:137,"hi, slight cough for one day, no fever and i am worried",TRIAGE_SYMPTOMS
vignette:137,"hello doctor slight cough for one day, no fever",TRIAGE_SYMPTOMS
vignette:137,"i am experiencing slight cough for one day, no fever",TRIAGE_SYMPTOMS
vignette:133,small paper cut on my finger,TRIAGE_SYMPTOMS
vignette:133,i have small paper cut on my finger,TRIAGE_SYMPTOMS
vignette:133,"doctor, small paper cut on my finger",TRIAGE_SYMPTOMS
vignette:133,small paper cut on my finger. what should i do,TRIAGE_SYMPTOMS
vignette:133,small paper cut on my finger. please advise,TRIAGE_SYMPTOMS
vignette:133,"hi, small paper cut on my finger and i am worried",TRIAGE_SYMPTOMS
vignette:133,hello doctor small paper cut on my finger,TRIAGE_SYMPTOMS
vignette:133,i am experiencing small paper cut on my finger,TRIAGE_SYMPTOMS
vignette:85,stomach pain and loose motions for four days,TRIAGE_SYMPTOMS
vignette:85,i have stomach pain and loose motions for four days,TRIAGE_SYMPTOMS
vignette:85,"doctor, stomach pain and loose motions for four days",TRIAGE_SYMPTOMS
vignette:85,stomach pain and loose motions for four days. what should i do,TRIAGE_SYMPTOMS
vignette:85,stomach pain and loose motions for four days. please advise,TRIAGE_SYMPTOMS
vignette:85,"hi, stomach pain and loose motions for four days and i am worried",TRIAGE_SYMPTOMS
vignette:85,hello doctor stomach pain and loose motions for four days,TRIAGE_SYMPTOMS
vignette:85,i am experiencing stomach pain and loose motions for four days,TRIAGE_SYMPTOMS
vignette:118,nosebleeds twice a week for the last month,TRIAGE_SYMPTOMS
vignette:118,i have nosebleeds twice a week for the last month,TRIAGE_SYMPTOMS
vignette:118,"doctor, nosebleeds twice a week for the last month",TRIAGE_SYMPTOMS
vignette:118,nosebleeds twice a week for the last month. what should i do,TRIAGE_SYMPTOMS
vignette:118,nosebleeds twice a week for the last month. please advise,TRIAGE_SYMPTOMS
vignette:118,"hi, nosebleeds twice a week for the last month and i am worried",TRIAGE_SYMPTOMS
vignette:118,hello doctor nosebleeds twice a week for the last month,TRIAGE_SYMPTOMS
vignette:118,i am experiencing nosebleeds twice a week for the last month,TRIAGE_SYMPTOMS
vignette:86,burning while passing urine for three days,TRIAGE_SYMPTOMS
vignette:86,i have burning while passing urine for three days,TRIAGE_SYMPTOMS
vignette:86,"doctor, burning while passing urine for three days",TRIAGE_SYMPTOMS
vignette:86,burning while passing urine for three days. what should i do,TRIAGE_SYMPTOMS
vignette:86,burning while passing urine for three days. please advise,TRIAGE_SYMPTOMS
vignette:86,"hi, burning while passing urine for three days and i am worried",TRIAGE_SYMPTOMS
vignette:86,hello doctor burning while passing urine for three days,TRIAGE_SYMPTOMS
vignette:86,i am experiencing burning while passing urine for three days,TRIAGE_SYMPTOMS
vignette:51,"painful swollen red calf, it feels warm",TRIAGE_SYMPTOMS
vignette:51,"i have painful swollen red calf, it feels warm",TRIAGE_SYMPTOMS
vignette:51,"doctor, painful swollen red calf, it feels warm",TRIAGE_SYMPTOMS
vignette:51,"painful swollen red calf, it feels warm. what should i do",TRIAGE_SYMPTOMS
vignette:51,"painful swollen red calf, it feels warm. please advise",TRIAGE_SYMPTOMS
vignette:51,"hi, painful swollen red calf, it feels warm and i am worried",TRIAGE_SYMPTOMS
vignette:51,"hello doctor painful swollen red calf, it feels warm",TRIAGE_SYMPTOMS
vignette:51,"i am experiencing painful swollen red calf, it feels warm",TRIAGE_SYMPTOMS
vignette:42,fever of 103 for four days with shivering,TRIAGE_SYMPTOMS
vignette:42,i have fever of 103 for four days with shivering,TRIAGE_SYMPTOMS
vignette:42,"doctor, fever of 103 for four days with shivering",TRIAGE_SYMPTOMS
vignette:42,fever of 103 for four days with shivering. what should i do,TRIAGE_SYMPTOMS
vignette:42,fever of 103 for four days with shivering. please advise,TRIAGE_SYMPTOMS
vignette:42,"hi, fever of 103 for four days with shivering and i am worried",TRIAGE_SYMPTOMS
vignette:42,hello doctor fever of 103 for four days with shivering,TRIAGE_SYMPTOMS
vignette:42,i am experiencing fever of 103 for four days with shivering,TRIAGE_SYMPTOMS
vignette:113,shoulder pain that limits lifting my arm for two weeks,TRIAGE_SYMPTOMS
vignette:113,i have shoulder pain that limits lifting my arm for two weeks,TRIAGE_SYMPTOMS
vignette:113,"doctor, shoulder pain that limits lifting my arm for two weeks",TRIAGE_SYMPTOMS
vignette:113,shoulder pain that limits lifting my arm for two weeks. what should i do,TRIAGE_SYMPTOMS
vignette:113,shoulder pain that limits lifting my arm for two weeks. please advise,TRIAGE_SYMPTOMS
vignette:113,"hi, shoulder pain that limits lifting my arm for two weeks and i am worried",TRIAGE_SYMPTOMS
vignette:113,hello doctor shoulder pain that limits lifting my arm for two weeks,TRIAGE_SYMPTOMS
vignette:113,i am experiencing shoulder pain that limits lifting my arm for two weeks,TRIAGE_SYMPTOMS
vignette:53,my blood sugar reading is above 400 and i feel very thirsty,TRIAGE_SYMPTOMS
vignette:53,i have my blood sugar reading is above 400 and i feel very thirsty,TRIAGE_SYMPTOMS
vignette:53,"doctor, my blood sugar reading is above 400 and i feel very thirsty",TRIAGE_SYMPTOMS
vignette:53,my blood sugar reading is above 400 and i feel very thirsty. what should i do,TRIAGE_SYMPTOMS
vignette:53,my blood sugar reading is above 400 and i feel very thirsty. please advise,TRIAGE_SYMPTOMS
vignette:53,"hi, my blood sugar reading is above 400 and i feel very thirsty and i am worried",TRIAGE_SYMPTOMS
vignette:53,hello doctor my blood sugar reading is above 400 and i feel very thirsty,TRIAGE_SYMPTOMS
vignette:53,i am experiencing my blood sugar reading is above 400 and i feel very thirsty,TRIAGE_SYMPTOMS
vignette:58,severe testicular pain that started a few hours ago,TRIAGE_SYMPTOMS
vignette:58,i have severe testicular pain that started a few hours ago,TRIAGE_SYMPTOMS
vignette:58,"doctor, severe testicular pain that started a few hours ago",TRIAGE_SYMPTOMS
vignette:58,severe testicular pain that started a few hours ago. what should i do,TRIAGE_SYMPTOMS
vignette:58,severe testicular pain that started a few hours ago. please advise,TRIAGE_SYMPTOMS
vignette:58,"hi, severe testicular pain that started a few hours ago and i am worried",TRIAGE_SYMPTOMS
vignette:58,hello doctor severe testicular pain that started a few hours ago,TRIAGE_SYMPTOMS
vignette:58,i am experiencing severe testicular pain that started a few hours ago,TRIAGE_SYMPTOMS
vignette:123,mild headache today after skipping lunch,TRIAGE_SYMPTOMS
vignette:123,i have mild headache today after skipping lunch,TRIAGE_SYMPTOMS
vignette:123,"doctor, mild headache today after skipping lunch",TRIAGE_SYMPTOMS
vignette:123,mild headache today after skipping lunch. what should i do,TRIAGE_SYMPTOMS
vignette:123,mild headache today after skipping lunch. please advise,TRIAGE_SYMPTOMS
vignette:123,"hi, mild headache today after skipping lunch and i am worried",TRIAGE_SYMPTOMS
vignette:123,hello doctor mild headache today after skipping lunch,TRIAGE_SYMPTOMS
vignette:123,i am experiencing mild headache today after skipping lunch,TRIAGE_SYMPTOMS
vignette:50,severe one sided abdominal pain moving to my groin,TRIAGE_SYMPTOMS
vignette:50,i have severe one sided abdominal pain moving to my groin,TRIAGE_SYMPTOMS
vignette:50,"doctor, severe one sided abdominal pain moving to my groin",TRIAGE_SYMPTOMS
vignette:50,severe one sided abdominal pain moving to my groin. what should i do,TRIAGE_SYMPTOMS
vignette:50,severe one sided abdominal pain moving to my groin. please advise,TRIAGE_SYMPTOMS
vignette:50,"hi, severe one sided abdominal pain moving to my groin and i am worried",TRIAGE_SYMPTOMS
vignette:50,hello doctor severe one sided abdominal pain moving to my groin,TRIAGE_SYMPTOMS
vignette:50,i am experiencing severe one sided abdominal pain moving to my groin,TRIAGE_SYMPTOMS
vignette:45,"vomiting everything i drink since yesterday, feeling very dry",TRIAGE_SYMPTOMS
vignette:45,"i have vomiting everything i drink since yesterday, feeling very dry",TRIAGE_SYMPTOMS
vignette:45,"doctor, vomiting everything i drink since yesterday, feeling very dry",TRIAGE_SYMPTOMS
vignette:45,"vomiting everything i drink since yesterday, feeling very dry. what should i do",TRIAGE_SYMPTOMS
vignette:45,"vomiting everything i drink since yesterday, feeling very dry. please advise",TRIAGE_SYMPTOMS
vignette:45,"hi, vomiting everything i drink since yesterday, feeling very dry and i am worried",TRIAGE_SYMPTOMS
vignette:45,"hello doctor vomiting everything i drink since yesterday, feeling very dry",TRIAGE_SYMPTOMS
vignette:45,"i am experiencing vomiting everything i drink since yesterday, feeling very dry",TRIAGE_SYMPTOMS
vignette:96,irregular periods for the last four months,TRIAGE_SYMPTOMS
vignette:96,i have irregular periods for the last four months,TRIAGE_SYMPTOMS
vignette:96,"doctor, irregular periods for the last four months",TRIAGE_SYMPTOMS
vignette:96,irregular periods for the last four months. what should i do,TRIAGE_SYMPTOMS
vignette:96,irregular periods for the last four months. please advise,TRIAGE_SYMPTOMS
vignette:96,"hi, irregular periods for the last four months and i am worried",TRIAGE_SYMPTOMS
vignette:96,hello doctor irregular periods for the last four months,TRIAGE_SYMPTOMS
vignette:96,i am experiencing irregular periods for the last four months,TRIAGE_SYMPTOMS
vignette:106,dandruff with an itchy scalp for two months,TRIAGE_SYMPTOMS
vignette:106,i have dandruff with an itchy scalp for two months,TRIAGE_SYMPTOMS
vignette:106,"doctor, dandruff with an itchy scalp for two months",TRIAGE_SYMPTOMS
vignette:106,dandruff with an itchy scalp for two months. what should i do,TRIAGE_SYMPTOMS
vignette:106,dandruff with an itchy scalp for two months. please advise,TRIAGE_SYMPTOMS
vignette:106,"hi, dandruff with an itchy scalp for two months and i am worried",TRIAGE_SYMPTOMS
vignette:106,hello doctor dandruff with an itchy scalp for two months,TRIAGE_SYMPTOMS
vignette:106,i am experiencing dandruff with an itchy scalp for two months,TRIAGE_SYMPTOMS
pair:16,what is the difference between bedbugs and congenital adrenal hyperplasia,COMPARE_CONDITIONS
pair:16,how is bedbugs different from congenital adrenal hyperplasia,COMPARE_CONDITIONS
pair:16,compare the symptoms of bedbugs and congenital adrenal hyperplasia,COMPARE_CONDITIONS
pair:16,"bedbugs versus congenital adrenal hyperplasia, which is more serious",COMPARE_CONDITIONS
pair:16,is bedbugs the same as congenital adrenal hyperplasia,COMPARE_CONDITIONS
pair:16,difference between bedbugs and congenital adrenal hyperplasia treatment,COMPARE_CONDITIONS
pair:16,how do doctors tell bedbugs apart from congenital adrenal hyperplasia,COMPARE_CONDITIONS
pair:16,bedbugs vs congenital adrenal hyperplasia causes,COMPARE_CONDITIONS
pair:46,what is the difference between health problems in pregnancy and sacrococcygeal teratoma,COMPARE_CONDITIONS
pair:46,how is health problems in pregnancy different from sacrococcygeal teratoma,COMPARE_CONDITIONS
pair:46,compare the symptoms of health problems in pregnancy and sacrococcygeal teratoma,COMPARE_CONDITIONS
pair:46,"health problems in pregnancy versus sacrococcygeal teratoma, which is more serious",COMPARE_CONDITIONS
pair:46,is health problems in pregnancy the same as sacrococcygeal teratoma,COMPARE_CONDITIONS
pair:46,difference between health problems in pregnancy and sacrococcygeal teratoma treatment,COMPARE_CONDITIONS
pair:46,how do doctors tell health problems in pregnancy apart from sacrococcygeal teratoma,COMPARE_CONDITIONS
pair:46,health problems in pregnancy vs sacrococcygeal teratoma causes,COMPARE_CONDITIONS
pair:69,what is the difference between childhood hodgkin lymphoma and gerstmann-straussler-scheinker disease,COMPARE_CONDITIONS
pair:69,how is childhood hodgkin lymphoma different from gerstmann-straussler-scheinker disease,COMPARE_CONDITIONS
pair:69,compare the symptoms of childhood hodgkin lymphoma and gerstmann-straussler-scheinker disease,COMPARE_CONDITIONS
pair:69,"childhood hodgkin lymphoma versus gerstmann-straussler-scheinker disease, which is more serious",COMPARE_CONDITIONS
pair:69,is childhood hodgkin lymphoma the same as gerstmann-straussler-scheinker disease,COMPARE_CONDITIONS
pair:69,difference between childhood hodgkin lymphoma and gerstmann-straussler-scheinker disease treatment,COMPARE_CONDITIONS
pair:69,how do doctors tell childhood hodgkin lymphoma apart from gerstmann-straussler-scheinker disease,COMPARE_CONDITIONS
pair:69,childhood hodgkin lymphoma vs gerstmann-straussler-scheinker disease causes,COMPARE_CONDITIONS
pair:58,what is the difference between permanent neonatal diabetes mellitus and spondylocostal dysostosis 3,COMPARE_CONDITIONS
pair:58,how is permanent neonatal diabetes mellitus different from spondylocostal dysostosis 3,COMPARE_CONDITIONS
pair:58,compare the symptoms of permanent neonatal diabetes mellitus and spondylocostal dysostosis 3,COMPARE_CONDITIONS
pair:58,"permanent neonatal diabetes mellitus versus spondylocostal dysostosis 3, which is more serious",COMPARE_CONDITIONS
pair:58,is permanent neonatal diabetes mellitus the same as spondylocostal dysostosis 3,COMPARE_CONDITIONS
pair:58,difference between permanent neonatal diabetes mellitus and spondylocostal dysostosis 3 treatment,COMPARE_CONDITIONS
pair:58,how do doctors tell permanent neonatal diabetes mellitus apart from spondylocostal dysostosis 3,COMPARE_CONDITIONS
pair:58,permanent neonatal diabetes mellitus vs spondylocostal dysostosis 3 causes,COMPARE_CONDITIONS
pair:66,what is the difference between chromosome 15q deletion and hyperprolinemia,COMPARE_CONDITIONS
pair:66,how is chromosome 15q deletion different from hyperprolinemia,COMPARE_CONDITIONS
pair:66,compare the symptoms of chromosome 15q deletion and hyperprolinemia,COMPARE_CONDITIONS
pair:66,"chromosome 15q deletion versus hyperprolinemia, which is more serious",COMPARE_CONDITIONS
pair:66,is chromosome 15q deletion the same as hyperprolinemia,COMPARE_CONDITIONS
pair:66,difference between chromosome 15q deletion and hyperprolinemia treatment,COMPARE_CONDITIONS
pair:66,how do doctors tell chromosome 15q deletion apart from hyperprolinemia,COMPARE_CONDITIONS
pair:66,chromosome 15q deletion vs hyperprolinemia causes,COMPARE_CONDITIONS
pair:68,what is the difference between melnick-needles syndrome and sickle cell disease,COMPARE_CONDITIONS
pair:68,how is melnick-needles syndrome different from sickle cell disease,COMPARE_CONDITIONS
pair:68,compare the symptoms of melnick-needles syndrome and sickle cell disease,COMPARE_CONDITIONS
pair:68,"melnick-needles syndrome versus sickle cell disease, which is more serious",COMPARE_CONDITIONS
pair:68,is melnick-needles syndrome the same as sickle cell disease,COMPARE_CONDITIONS
pair:68,difference between melnick-needles syndrome and sickle cell disease treatment,COMPARE_CONDITIONS
pair:68,how do doctors tell melnick-needles syndrome apart from sickle cell disease,COMPARE_CONDITIONS
pair:68,melnick-needles syndrome vs sickle cell disease causes,COMPARE_CONDITIONS
pair:22,what is the difference between beta-mannosidosis and pyruvate carboxylase deficiency,COMPARE_CONDITIONS
pair:22,how is beta-mannosidosis different from pyruvate carboxylase deficiency,COMPARE_CONDITIONS
pair:22,compare the symptoms of beta-mannosidosis and pyruvate carboxylase deficiency,COMPARE_CONDITIONS
pair:22,"beta-mannosidosis versus pyruvate carboxylase deficiency, which is more serious",COMPARE_CONDITIONS
pair:22,is beta-mannosidosis the same as pyruvate carboxylase deficiency,COMPARE_CONDITIONS
pair:22,difference between beta-mannosidosis and pyruvate carboxylase deficiency treatment,COMPARE_CONDITIONS
pair:22,how do doctors tell beta-mannosidosis apart from pyruvate carboxylase deficiency,COMPARE_CONDITIONS
pair:22,beta-mannosidosis vs pyruvate carboxylase deficiency causes,COMPARE_CONDITIONS
pair:39,"what is the difference between dystonia 7, torsion and acinetobacter in healthcare settings",COMPARE_CONDITIONS
pair:39,"how is dystonia 7, torsion different from acinetobacter in healthcare settings",COMPARE_CONDITIONS
pair:39,"compare the symptoms of dystonia 7, torsion and acinetobacter in healthcare settings",COMPARE_CONDITIONS
pair:39,"dystonia 7, torsion versus acinetobacter in healthcare settings, which is more serious",COMPARE_CONDITIONS
pair:39,"is dystonia 7, torsion the same as acinetobacter in healthcare settings",COMPARE_CONDITIONS
pair:39,"difference between dystonia 7, torsion and acinetobacter in healthcare settings treatment",COMPARE_CONDITIONS
pair:39,"how do doctors tell dystonia 7, torsion apart from acinetobacter in healthcare settings",COMPARE_CONDITIONS
pair:39,"dystonia 7, torsion vs acinetobacter in healthcare settings causes",COMPARE_CONDITIONS
pair:2,"what is the difference between waterhousefriderichsen syndrome and ichthyosis, acquired",COMPARE_CONDITIONS
pair:2,"how is waterhousefriderichsen syndrome different from ichthyosis, acquired",COMPARE_CONDITIONS
pair:2,"compare the symptoms of waterhousefriderichsen syndrome and ichthyosis, acquired",COMPARE_CONDITIONS
pair:2,"waterhousefriderichsen syndrome versus ichthyosis, acquired, which is more serious",COMPARE_CONDITIONS
pair:2,"is waterhousefriderichsen syndrome the same as ichthyosis, acquired",COMPARE_CONDITIONS
pair:2,"difference between waterhousefriderichsen syndrome and ichthyosis, acquired treatment",COMPARE_CONDITIONS
pair:2,"how do doctors tell waterhousefriderichsen syndrome apart from ichthyosis, acquired",COMPARE_CONDITIONS
pair:2,"waterhousefriderichsen syndrome vs ichthyosis, acquired causes",COMPARE_CONDITIONS
pair:72,what is the difference between thyroid cancer and lowry wood syndrome,COMPARE_CONDITIONS
pair:72,how is thyroid cancer different from lowry wood syndrome,COMPARE_CONDITIONS
pair:72,compare the symptoms of thyroid cancer and lowry wood syndrome,COMPARE_CONDITIONS
pair:72,"thyroid cancer versus lowry wood syndrome, which is more serious",COMPARE_CONDITIONS
pair:72,is thyroid cancer the same as lowry wood syndrome,COMPARE_CONDITIONS
pair:72,difference between thyroid cancer and lowry wood syndrome treatment,COMPARE_CONDITIONS
pair:72,how do doctors tell thyroid cancer apart from lowry wood syndrome,COMPARE_CONDITIONS
pair:72,thyroid cancer vs lowry wood syndrome causes,COMPARE_CONDITIONS
pair:63,what is the difference between autosomal dominant caf au lait spots and nephrocalcinosis,COMPARE_CONDITIONS
